,Features,Kept,Rank
0,srcip,True,1
1,sport,False,2
2,dstip,False,20
3,dsport,True,1
4,proto,False,8
5,state,False,17
6,dur,False,11
7,sbytes,True,1
8,dbytes,True,1
9,sttl,False,8
10,dttl,False,19
11,sloss,False,10
12,dloss,False,15
13,service,True,1
14,Sload,False,4
15,Dload,False,11
16,Spkts,False,16
17,Dpkts,False,6
18,swin,False,21
19,dwin,False,21
20,stcpb,False,9
21,dtcpb,False,9
22,smeansz,False,2
23,dmeansz,False,3
24,trans_depth,False,18
25,res_bdy_len,False,14
26,Sjit,False,12
27,Djit,False,7
28,Stime,False,3
29,Ltime,False,7
30,Sintpkt,False,4
31,Dintpkt,False,13
32,tcprtt,False,12
33,synack,False,5
34,ackdat,False,5
35,is_sm_ips_ports,False,22
36,ct_state_ttl,False,19
37,ct_flw_http_mthd,False,17
38,is_ftp_login,False,20
39,ct_ftp_cmd,False,22
40,ct_srv_src,False,10
41,ct_srv_dst,False,6
42,ct_dst_ltm,False,15
43,ct_src_ ltm,False,13
44,ct_src_dport_ltm,False,16
45,ct_dst_sport_ltm,False,18
46,ct_dst_src_ltm,False,14
